,sin(GLAT),cos(GLON),sin(GLON),log10(Energy_Flux100),log10(Unc_Energy_Flux100),log10(Signif_Avg),LP_index1000MeV,LP_beta,LP_SigCurv,log10(Variability_Index),CLASS1,1_RF,1_NN,2_RF,2_NN,3_RF,3_NN,4_RF,4_NN,5_RF,5_NN,6_RF,6_NN
4FGL J0008.4-2339,-0.98385644,0.6392358,0.7690108,-11.6671,-12.380887,1.057665,0.85574543,0.1993669271469116,2.6448888778686523,1.0975814,bll,0.5964457986045458,0.8091592790281019,0.3297473825419365,0.17139453502635482,0.058258849318202334,0.015877491449068266,0.005634780959444476,0.0006975455556081832,0.00798635091708275,0.0016584119687957108,0.0019268376587881972,0.0012127369720709475
4FGL J0008.4+1455,-0.7274938,-0.30443323,0.95253366,-11.363466,-12.261932,1.241504,1.8397909,0.1053333804011344,2.4028213024139404,1.7147954,bcu,0.7341194361443768,0.8283741995995139,0.2081075603601073,0.11262415450012778,0.0549771705823662,0.05764230125756775,3.0959752321981425e-05,0.00026279755497063385,0.002647703095082115,0.00048766219794983115,0.00011717006574580617,0.0006088848898701795
4FGL J0008.9+2509,-0.5979692,-0.3569843,0.9341104,-11.6773405,-12.329494,0.57939875,3.1095061,0.1916704922914505,1.3551570177078247,1.2555735,unas,0.03917465960736225,0.016719055882386206,0.5324075605133183,0.5115644100214229,0.419266033271378,0.46507336214208944,0.004492624110852177,0.003962870172945924,0.003806372027793213,0.00120222486169246,0.0008527504692963483,0.0014780769194628653
4FGL J0009.1-5012,-0.9102893,0.7592158,-0.65083903,-11.705537,-12.382532,0.9503575,2.2921882,0.1640565246343612,2.057619571685791,1.136814,unas,0.21262623902473815,0.185436557313518,0.5714180370470232,0.5915008315840689,0.16963944616040535,0.19714331473388225,0.022504453140998113,0.013098822248775215,0.013370166784337585,0.008312556706941194,0.010441657842497658,0.004507917412814589
4FGL J0009.1+0628,-0.81783146,-0.25005445,0.9682318,-11.23474,-12.313517,1.236094,2.074663,0.0471641756594181,1.3527389764785769,1.1748611,bll,0.8716059816239804,0.8714121953722721,0.10737295365862345,0.0793296689039665,0.017454096365093475,0.04704209331342084,0.0,0.0003177365088767613,0.00025867652586466784,0.0007345194385007514,0.003308291826437986,0.0011637864629631346
4FGL J0009.2+6847,0.10861229,-0.48648688,0.87368786,-11.101646,-11.87424,1.059241,2.6417751,0.4263482093811035,5.754358291625977,1.1663888,unas,0.02230784522355592,0.009930320481158283,0.5199716255023661,0.3822046584272165,0.08508960532929766,0.05444104351096991,0.10148535352510318,0.20093995644315324,0.1648367634422683,0.12275231120124559,0.10630880697740878,0.22973170993625647
4FGL J0009.2+1745,-0.6942204,-0.3240705,0.94603294,-11.813185,-12.380919,0.83434767,2.2138689,0.4044544696807861,2.7511467933654785,1.1302414,unas,0.1371175065814666,0.10115637978371529,0.6048542513044248,0.6431075517025621,0.1749009611739844,0.2301092454100297,0.06687539663449384,0.0096802548346947,0.00882060553465797,0.013040841704355325,0.007431278770972313,0.0029057265646426425
4FGL J0009.3+5030,-0.20455734,-0.44032097,0.89784044,-10.639759,-12.037007,1.7910007,1.8391688,0.0695276111364364,5.271940231323242,2.3111928,bll,0.8702247844657268,0.9669535402269436,0.008574672588392155,0.00791223279200527,0.11929051669761953,0.02221876252717717,0.0,8.756811369143365e-05,0.0,0.0010285284302475014,0.0019100262482615422,0.0017993679099350855
4FGL J0009.7-1418,-0.96083736,0.1096343,0.993972,-11.534702,-12.438172,0.9634354,2.4800673,0.0854187682271003,1.3233710527420044,1.1419446,unas,0.30117491374732214,0.2815361795928508,0.3703108283365287,0.3384494984522621,0.3185932820347004,0.37405356091034353,0.0040911880400403295,0.0018930994573325697,0.002590832772346118,0.0022829297715816887,0.0032389550690623318,0.0017847318156295827
4FGL J0009.7-3217,-0.9835377,0.9999311,0.01174092,-11.6277895,-12.485202,0.9575941,2.149558,0.0580571517348289,0.9210495948791504,1.4461677,rdg,0.4571332783811973,0.3540235085514228,0.4250148348770836,0.48485144661030605,0.11432255258312464,0.15362852537328026,0.0022933201058201054,0.00424574774520192,0.0009856035437430786,0.0015752769900257402,0.00025041050903119866,0.0016754947297633288
