,sin(GLAT),cos(GLON),sin(GLON),log10(Energy_Flux100),log10(Unc_Energy_Flux100),log10(Signif_Avg),LP_index1000MeV,LP_beta,LP_SigCurv,log10(Variability_Index),CLASS1,1_RF,1_NN,2_RF,2_NN,3_RF,3_NN,4_RF,4_NN,5_RF,5_NN,6_RF,6_NN,7_RF,7_NN,8_RF,8_NN,9_RF,9_NN
4FGL J0006.3-0620,-0.9179291,-0.063609466,0.9979749,-11.845959,-12.497899,0.72044086,1.9229547,0.1246007829904556,1.0373724699020386,1.3688327,bll,0.00782222988340044,0.009035738191744344,0.3454725226806363,0.3667482074776794,0.5159521122247881,0.4948697052580896,0.0005986083057276841,0.0013067058632878525,0.12333143258565966,0.12473335247088832,0.004681912811964778,0.0013198587105526468,0.0015464547896927824,0.0012838453412771511,0.0004786787513302512,0.0004695088375672577,0.00011604796680001013,0.0002330778489134225
4FGL J0006.4+0135,-0.8598299,-0.18184844,0.98332655,-11.983517,-12.577105,0.8141607,1.1334021,0.3439277112483978,2.0740771293640137,0.68851304,bll,0.006018917915307572,0.008491678366770616,0.5269685520760349,0.3969405041570813,0.420620215348885,0.5450894571569315,0.006692727562436234,0.0015473514192989961,0.02943530569137059,0.03501102466479736,0.002716437542952835,0.0048917688285036644,0.002672545500603256,0.005715291705864732,0.0048633366399215075,0.0012707705129803523,1.1961722488038278e-05,0.001042153187771585
4FGL J0006.4-5621,-0.8631506,0.7106596,-0.70353603,-11.888372,-12.542782,0.66316324,2.4248319,0.1763264238834381,1.169952154159546,1.0467057,bll,0.0020064712564445203,0.006453592106243523,0.06987495730319165,0.0506899203866649,0.6719741260680968,0.691071168209597,0.00045653972021433457,0.004061569041692704,0.23784446824517033,0.22786221350755465,0.0027669380554857007,0.010439964098007234,0.008800322700044588,0.005189709610772144,0.006276176651351967,0.003914557483798196,0.0,0.0003173055556696382
4FGL J0006.6+4618,-0.2734509,-0.42135793,0.9068944,-12.122066,-12.69107,0.7806916,-0.72628057,0.696883499622345,2.7792601585388184,1.0318725,unas,0.0023528673744570208,0.005507430494354833,0.20140282099866053,0.12944498934695384,0.7013169511627869,0.8130693858535336,0.02445286714695255,0.002589329364613037,0.05076668492672753,0.009874171124236168,0.015096543695244916,0.023637651954336585,0.004038341586753202,0.005285559959517508,0.0005063449356016354,0.005600651505847069,6.657817281540094e-05,0.004990830396607372
4FGL J0007.0+7303,0.18157788,-0.4948921,0.8689544,-9.36492,-11.487939,2.569364,1.6364633,0.2782940566539764,76.61576843261719,0.57669103,psr,0.0015384615384615385,0.0017606985539717415,0.006153846153846154,0.016655460292170278,0.004615384615384615,0.0020910347665950052,0.0,0.00047646385688300807,0.012307692307692308,0.0007215551376542697,0.04974358974358975,0.016701675224724953,0.18153846153846157,0.14234551702466303,0.6717948717948717,0.7840229844070622,0.07230769230769231,0.03522461073627542
4FGL J0007.4-0322,-0.89898604,-0.12466259,0.9921992,-12.193755,-12.735433,0.7508671,-2.2289734,0.992812991142273,2.871277093887329,1.0486444,unas,0.0010275667671061231,0.006270001024877588,0.41086436353494715,0.27948572422131707,0.4944365152087639,0.6732718318940698,0.013415502681979392,0.0031811006097797333,0.027107038450105123,0.017198814923402427,0.010330401186335353,0.008502659884539378,0.042043702754754365,0.004963830162102501,0.0006811353863563855,0.0038764828279731034,9.377402965221485e-05,0.0032495544519385924
4FGL J0007.7+4008,-0.374166,-0.40573204,0.9139921,-11.464487,-12.271063,1.1774929,1.7860489,0.1454445719718933,2.4661614894866943,1.5522116,bcu,0.0024674895198181553,0.009131966928346712,0.7708956411809861,0.6246810674024894,0.19103042977156345,0.31091802562147064,0.0003732569005659297,0.0011194143936433774,0.027624684893522166,0.0510653698973688,0.0,0.0009016931397568123,0.007531993702904918,0.001160328468342947,0.0,0.00047836049466246083,7.650403063936898e-05,0.0005437736539190243
4FGL J0008.0+4711,-0.25938475,-0.42761433,0.9039613,-10.726528,-12.036628,1.7260984,1.8823855,0.0758369266986846,4.3269548416137695,0.7613631,bll,0.012087513313267195,0.035297350718069484,0.6892632488130678,0.5740311040797387,0.08381620939905599,0.03167356104145029,1.3046314416177429e-05,0.002731935508277502,0.0653820097431152,0.01369667523540648,0.025714285714285717,0.008817061803239375,0.03430204081632653,0.024861290037418684,0.02,0.006550272728734134,0.06942164588646539,0.3023407488476653
4FGL J0008.0-3937,-0.9640181,0.91351837,-0.40679747,-11.680104,-12.392283,0.73536736,2.715892,0.219093456864357,1.914081573486328,1.22025,bcu,0.009047337348373798,0.005689649403696969,0.03131472120012516,0.02182326620442294,0.666632991069192,0.5525652413830946,0.0029282578287175014,0.005093931525300318,0.27939188477610155,0.3912367108491525,0.006059137334633453,0.01214541206560538,0.0013303014371727833,0.0061233805963969,0.0032850330883711963,0.004946616845880736,1.03359173126615e-05,0.0003757911264496017
4FGL J0008.4+6926,0.11988956,-0.48706898,0.8733635,-11.351322,-12.00456,0.83500296,2.2411752,0.057287722826004,0.9357820749282836,1.0440569,unas,0.004846423532231845,0.012435090257629778,0.08828023188101092,0.07863040201960153,0.630371009732911,0.7705756623691284,0.004219808099585417,0.002453355796823853,0.036370481168561584,0.03403919996138373,0.15927108941797494,0.0642234286188176,0.013500306690493565,0.00571760387768508,0.04867980800319533,0.015978576425250433,0.014460841474035434,0.015946680673679464
