,sin(GLAT),cos(GLON),sin(GLON),log10(Energy_Flux100),log10(Unc_Energy_Flux100),log10(Signif_Avg),LP_index1000MeV,LP_beta,LP_SigCurv,log10(Variability_Index),CLASS1,1_RF,1_NN,2_RF,2_NN,3_RF,3_NN,4_RF,4_NN,5_RF,5_NN,6_RF,6_NN
4FGL J0005.9+3824,-0.40056235,-0.3944596,0.9189133,-11.188751,-12.267908,1.2202905,2.7843473,0.1857199966907501,3.510133981704712,1.6150181,fsrq,0.3634185584096526,0.21823002831296,0.0097764953473028,0.0027219134369203305,0.005391304347826088,0.0007332228473990056,0.0027126436781609196,0.0025336650780664453,0.5594392035408464,0.7364825689950428,0.05926179467621117,0.039298601329611396
4FGL J0006.3-1813,-0.9716287,0.323088,0.94636893,-11.989327,-12.5417385,0.6093166,2.0634017,0.0447623133659362,0.3089129030704498,1.1571767,unas,0.5872513718616963,0.5132874647600215,0.000481983201743078,0.0021311917552841527,0.0,0.0001887400724218032,0.001316098337562527,0.0020679731039723688,0.1483183632602431,0.0994478158893731,0.2626321833387549,0.38287681441892696
4FGL J0006.3-0620,-0.9179291,-0.063609466,0.9979749,-11.845959,-12.497899,0.72044086,1.9229547,0.1246007829904556,1.0373724699020386,1.3688327,bll,0.5258975948544724,0.5024956889173182,0.009864654509808583,0.0016121557028877748,0.0,0.00014041285279798324,0.0021160011770199505,0.00143688530677311,0.12381327740133805,0.10372133358740435,0.33830847205736114,0.3905935236328186
4FGL J0006.4+0135,-0.8598299,-0.18184844,0.98332655,-11.983517,-12.577105,0.8141607,1.1334021,0.3439277112483978,2.0740771293640137,0.68851304,bll,0.43015837021925063,0.5706352352663154,0.009740962305560047,0.016825453260221758,0.0,0.0009421699646141096,0.0010640417636737915,0.0055493223901892765,0.033310459767376205,0.043378200675922254,0.5257261659441393,0.3626696184427372
4FGL J0006.4-5621,-0.8631506,0.7106596,-0.70353603,-11.888372,-12.542782,0.66316324,2.4248319,0.1763264238834381,1.169952154159546,1.0467057,bll,0.671213246202442,0.6776868326711077,0.0007541180509794317,0.010698320567643287,0.006221470836855453,0.001452239701524414,0.006800716849717443,0.011010231808938894,0.23505563942065852,0.23470448868675903,0.07995480863934692,0.06444788656402671
4FGL J0006.6+4618,-0.2734509,-0.42135793,0.9068944,-12.122066,-12.69107,0.7806916,-0.72628057,0.696883499622345,2.7792601585388184,1.0318725,unas,0.7435395577565843,0.8278179327256513,0.010171576842607815,0.007043607387590472,0.0004470588235294117,0.0017481961352725994,0.008496757498118818,0.022708499491722985,0.04232456481640225,0.008761772960790906,0.19502048426275717,0.131919991298972
4FGL J0007.0+7303,0.18157788,-0.4948921,0.8689544,-9.36492,-11.487939,2.569364,1.6364633,0.2782940566539764,76.61576843261719,0.57669103,psr,0.003076923076923077,0.0005542997562832275,0.23846153846153853,0.1291182296039281,0.6953846153846153,0.8422326841355864,0.006153846153846154,0.019152104181202504,0.006153846153846154,0.005837177730086152,0.050769230769230775,0.0031055045929135605
4FGL J0007.4-0322,-0.89898604,-0.12466259,0.9921992,-12.193755,-12.735433,0.7508671,-2.2289734,0.992812991142273,2.871277093887329,1.0486444,unas,0.5392006648947844,0.7249784987622402,0.04957861378168564,0.005294907118288294,0.0,0.001046234235337258,0.007155697696816256,0.007679664695637701,0.026490726253771787,0.01453418114654259,0.37757429737294207,0.2464665140419539
4FGL J0007.7+4008,-0.374166,-0.40573204,0.9139921,-11.464487,-12.271063,1.1774929,1.7860489,0.1454445719718933,2.4661614894866943,1.5522116,bcu,0.2112859937445777,0.3128156692899726,0.011937545312308402,0.0015114636357983031,0.0,0.00018647534548380367,0.0,0.00212990082669943,0.019868114789997154,0.04998042364262748,0.7569083461531169,0.6333760672594182
4FGL J0008.0+4711,-0.25938475,-0.42761433,0.9039613,-10.726528,-12.036628,1.7260984,1.8823855,0.0758369266986846,4.3269548416137695,0.7613631,bll,0.06608363438407791,0.011900883534001658,0.023639455782312923,0.015939427648097727,0.008571428571428572,0.0018403014462735083,0.006671964399237127,0.028376230003367635,0.045531762024866744,0.018418444723644883,0.8495017548380766,0.9235247126446146
